"Gene"	"CDKN1A-high"	"CDKN2A-high"	"Double-high"
"Serpine2"	"Absent"	"Absent"	"Present"
"Fas"	"Absent"	"Absent"	"Present"
"Angptl4"	"Absent"	"Absent"	"Present"
"Mmp2"	"Absent"	"Absent"	"Present"
"Igfbp3"	"Absent"	"Absent"	"Present"
"Tnfrsf1a"	"Absent"	"Absent"	"Present"
"Mmp14"	"Absent"	"Absent"	"Present"
"Spp1"	"Absent"	"Absent"	"Present"
"Timp2"	"Absent"	"Absent"	"Present"
"Ccl7"	"Absent"	"Absent"	"Present"
"Il6st"	"Absent"	"Absent"	"Present"
"Axl"	"Absent"	"Absent"	"Present"
"Ctsb"	"Absent"	"Absent"	"Present"
"Jun"	"Absent"	"Absent"	"Present"
"Cd9"	"Absent"	"Absent"	"Present"
